INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT
索引	类型0Animation 1particle	名称	范围1	范围2	范围3	范围4	子弹是否需要指定方向	没用到	子弹伤害加成
0	0	bullet01	-20	-20	40	40	0	0	100
1	0	bullet02	-9	-25	18	50	1	0	100
2	0	bullet03	-10	-10	20	20	0	0	100
3	0	bullet04	-12	-10	24	20	0	0	100
4	0	bullet05	-5	-5	10	10	0	0	100
5	0	bullet06	-7	-10	14	20	1	0	100
6	0	bullet07	-8	-6	18	18	1	0	100
7	0	bullet03	-10	-10	20	20	0	0	100
8	0	bullet09	-13	-13	26	20	1	0	100
9	0	bullet10	-7	-18	14	48	1	0	100
10	0	bullet11	-10	-10	20	20	0	0	100
11	0	bullet12	-4	-19	8	42	1	0	100
12	0	bullet13	-14	-5	28	10	1	0	100
13	0	bullet14	-9	-11	18	22	1	0	100
14	0	bullet15	-10	-95	20	190	1	0	100
15	0	bullet16	-4	-62	8	124	0	0	16
16	0	bullet17	-10	-60	20	120	1	0	22
17	0	bullet18	-20	0	40	800	0	0	1000
18	1	fireball	-15	-10	30	60	0	0	80
19	0	bullet20	-5	-40	8	80	1	0	37
20	0	bullet22	-3	-22	6	47	1	0	100
21	0	bullet27	-9	-9	18	18	0	0	100
22	1	lightball1	-20	-20	40	40	1	0	47
23	1	lightball2	-20	-20	40	40	1	0	60
24	0	bullet27	-10	-10	20	20	0	0	200
25	0	bullet26	-20	0	40	800	0	0	250
26	0	bullet26	-20	0	40	800	0	0	370
27	0	bullet26	-20	0	40	800	0	0	490
28	0	bullet26	-20	0	40	800	0	0	600
29	0	bullet25	-20	0	40	800	0	0	1100
30	0	bullet27	-10	-10	20	20	0	0	100
31	0	bullet28	-8	-40	16	80	0	0	40
32	0	bullet29	-5	-40	10	80	0	0	100
33	1	gaonengball	-15	-10	30	60	0	0	100
34	0	bullet30	-20	-15	40	30	0	0	40
35	0	bullet31	-10	-25	20	50	0	0	15
36	0	bullet32	-7	-18	14	48	1	0	100
37	0	bullet26	-20	0	40	800	0	0	75
38	0	bullet33	-3	-22	6	47	1	0	100
39	0	bullet34	-10	-10	20	20	0	0	100
40	0	bullet35	-20	-20	40	40	0	0	100
41	0	bullet36	-18	-16	36	32	0	0	100
42	0	bullet37	-10	-10	20	20	0	0	100
43	0	bullet38	-6	-32	12	64	1	0	100
44	0	bullet39	-4	-19	8	42	1	0	100
45	0	bullet40	-9	-29	18	58	1	0	100
46	0	bullet41	-13	-48	30	26	1	0	100
47	0	bullet42	-10	-38	20	20	1	0	100
48	0	bullet43	-7	-3	14	6	1	0	100
49	0	bullet44	-8	-16	16	38	1	0	100
50	0	bullet45	-7	-10	14	20	1	0	100
51	0	bullet46	-16	-40	8	20	1	0	100
52	0	bullet47	-12	-10	24	20	0	0	100
53	0	bullet48	-5	-5	10	10	0	0	100
54	0	bullet49	-10	-60	20	120	1	0	100
55	0	bullet50	-13	-38	26	76	1	0	100
56	0	bullet51	-20	-26	40	58	1	0	100
57	0	bullet52	-12	-32	24	64	0	0	9
58	0	bullet53	-12	-32	24	64	0	0	9
59	0	bullet54	-10	-38	20	76	0	0	9
60	0	bullet55	-10	-38	20	76	0	0	9
61	0	bullet56	-12	-50	24	100	0	0	9
62	0	bullet57	-12	-50	24	100	0	0	9
63	0	bullet58	-16	-75	34	150	0	0	24
64	0	bullet59	-10	-70	20	140	0	0	9
65	0	bullet60	-9	-45	18	90	0	0	13
66	0	bullet61	-9	-45	18	90	0	0	13
67	0	bullet62	-10	-70	20	140	0	0	13
68	0	bullet63	-12	-32	24	64	0	0	13
69	0	bullet64	-12	-32	24	64	0	0	13
70	0	bullet65	-10	-70	20	140	0	0	10
71	0	bullet66	-10	-38	20	76	0	0	10
72	0	bullet67	-10	-38	20	76	0	0	10
73	0	bullet68	-12	-32	24	64	0	0	10
74	0	bullet69	-12	-32	24	64	0	0	10
75	0	bullet70	-12	-32	24	64	0	0	24
76	0	bullet71	-12	-32	24	64	0	0	24
77	0	bullet72	-8	-20	16	40	1	0	70
78	1	gaonengball2	-20	0	40	40	0	0	100
