INT	INT	INT	STRING	INT	INT	INT	INT
id	类型0小怪 1BOSS	资源ID 首列 0 plane表 首列 1 boss表	弹幕对应data/shooters	血量	分数	掉落数量（宝石）	掉落道具 "jinbi06", "huoli02", "huoli03", "zhuanhuan05", "jiaxie04", "baoxian01", "jinbi06", "jinbi07", "jinbi08", "jinbi09", "jinbi10", "jinbi11", "zuanshi"
0	0	0	Null	0	0	0	-1
1	0	38	_gen	180	100	1	-1
2	0	37	Fensan	90	200	0	-1
3	0	40	_gen	180	100	1	-1
4	0	39	Fensan	180	200	0	-1
5	0	36	Null	120	100	1	-1
6	0	3	SFS	1000	200	3	-1
7	0	34	Null	120	100	1	-1
8	0	3	SFS	1000	200	3	-1
9	0	4	kuai	20000	200	1	-1
10	0	5	kuai	20000	200	1	-1
11	0	35	Null	50	100	1	-1
12	0	19	zuoyou	2500	200	5	-1
13	0	35	Null	30	100	1	-1
14	0	19	zuoyou	2500	200	5	-1
15	0	1	_gen	400	100	2	-1
16	0	1	_gen	2000	100	2	-1
17	0	37	Fensan	500	200	3	-1
18	0	38	Fensan	500	200	3	-1
19	0	1	Null	150	100	1	-1
20	0	7	ZH	4000	200	0	3
21	0	7	ZH	4000	200	0	5
22	1	0	boss1	30000	1000	200	-1
23	0	8	_gen	200	100	0	1
24	0	8	_gen	150	100	0	1
25	0	8	Null	250	100	0	1
26	0	8	Null	250	100	0	1
27	0	8	Null	100	100	0	1
28	0	8	Null	100	100	0	1
29	0	8	Null	200	100	0	1
30	0	8	31	150	100	0	1
31	0	39	gen3	200	100	2	-1
32	0	35	Fensan	800	200	6	1
33	0	39	gen3	80	100	2	-1
34	0	35	Fensan	150	200	6	-1
35	0	11	zhongsan	1000	200	6	-1
36	0	11	zhongsan	1000	200	6	-1
37	0	36	gen3	100	100	2	1
38	0	10	zhonger	2000	200	6	-1
39	0	12	gen3	200	100	2	-1
40	0	10	zhonger	2000	200	6	-1
41	0	36	gen3	400	200	2	1
42	0	35	gen3	200	200	2	-1
43	0	11	zhongsan	1000	200	4	-1
44	0	11	zhongsan	1000	200	4	-1
45	0	38	gen3	1200	100	2	-1
46	0	34	gen3	700	200	6	-1
47	0	36	_gen	700	200	6	-1
48	1	1	boss2	55000	1000	200	-1
49	0	10	zhonger	1500	200	0	4
