INT	STRING	STRING	INT	INT
±‡∫≈	√Ë ˆ	Œª÷√	¿‡–Õ£®0±≥æ∞“Ù¿÷ 1 “Ù–ß£©	—≠ª∑
1		sound/back.ogg	1	0
2		sound/bgm_boss.ogg	0	1
3		sound/bgm_menu.ogg	0	1
4		sound/bomb.ogg	1	0
5		sound/boom_l.ogg	1	0
6		sound/boom_m.ogg	1	0
7		sound/boom_s.ogg	1	0
8		sound/boom_user.ogg	1	0
9		sound/boss_transform.ogg	1	0
10		sound/bs1.ogg	1	0
11		sound/bs2.ogg	1	0
12		sound/bullet1.ogg	1	1
13		sound/bullet2.ogg	1	1
14		sound/button.ogg	1	0
15		sound/count.ogg	1	0
16		sound/crash.mp3	1	0
17		sound/crystal.ogg	1	0
18		sound/entry.ogg	1	0
19		sound/laser.ogg	1	0
20		sound/levelmax1.ogg	1	0
21		sound/levelmax2.ogg	1	0
22		sound/life.ogg	1	0
23		sound/logo.ogg	1	0
24		sound/mission_complete.ogg	1	0
25		sound/mission_start.ogg	1	0
26		sound/pause.mp3	1	0
27		sound/planebigtosmall.ogg	1	0
28		sound/planecomein.ogg	1	0
29		sound/platrate.ogg	1	0
30		sound/powerup.ogg	1	0
31		sound/rush.ogg	1	0
32		sound/score.ogg	1	0
33		sound/select.ogg	1	0
34		sound/sg.ogg	1	0
35		sound/shield.ogg	1	0
36		sound/strengthen.ogg	1	0
37		sound/sure.ogg	1	0
38		sound/transform.ogg	1	0
39		sound/unlockrank.ogg	1	0
40		sound/warning.ogg	1	0
41		sound/word.ogg	1	0
