INT	STRING	STRING	INT	INT
±‡∫≈	√Ë ˆ	Œª÷√	¿‡–Õ£®0±≥æ∞“Ù¿÷ 1 “Ù–ß£©	—≠ª∑
1		soundwin32/back.mp3	1	0
2		soundwin32/bgm_boss.mp3	0	1
3		soundwin32/bgm_menu.mp3	0	1
4		soundwin32/bomb.mp3	1	0
5		soundwin32/boom_l.mp3	1	0
6		soundwin32/boom_m.mp3	1	0
7		soundwin32/boom_s.mp3	1	0
8		soundwin32/boom_user.mp3	1	0
9		soundwin32/boss_transform.mp3	1	0
10		soundwin32/bs1.mp3	1	0
11		soundwin32/bs2.mp3	1	0
12		soundwin32/bullet1.mp3	1	1
13		soundwin32/bullet2.mp3	1	1
14		soundwin32/button.mp3	1	0
15		soundwin32/count.mp3	1	0
16		soundwin32/crash.mp3	1	0
17		soundwin32/crystal.mp3	1	0
18		soundwin32/entry.mp3	1	0
19		soundwin32/laser.mp3	1	0
20		soundwin32/levelmax1.mp3	1	0
21		soundwin32/levelmax2.mp3	1	0
22		soundwin32/life.mp3	1	0
23		soundwin32/logo.mp3	1	0
24		soundwin32/mission_complete.mp3	1	0
25		soundwin32/mission_start.mp3	1	0
26		soundwin32/pause.mp3	1	0
27		soundwin32/planebigtosmall.mp3	1	0
28		soundwin32/planecomein.mp3	1	0
29		soundwin32/platrate.mp3	1	0
30		soundwin32/powerup.mp3	1	0
31		soundwin32/rush.mp3	1	0
32		soundwin32/score.mp3	1	0
33		soundwin32/select.mp3	1	0
34		soundwin32/sg.mp3	1	0
35		soundwin32/shield.mp3	1	0
36		soundwin32/strengthen.mp3	1	0
37		soundwin32/sure.mp3	1	0
38		soundwin32/transform.mp3	1	0
39		soundwin32/unlockrank.mp3	1	0
40		soundwin32/warning.mp3	1	0
41		soundwin32/word.mp3	1	0
