INT	INT	INT	INT	INT	STRING
id	a	a	b	b	弹幕shooter
1	-5	-5	10	10	.0,1.
2	-5	-5	10	10	.2,3,17,18.
3	-5	-5	10	10	.4,5,6,7,17,18.
4	-5	-5	10	10	.8,9,10,11,19,20,21,22.
5	-5	-5	10	10	.12,13,14,15,16,23,24,25,26.
6	-5	-5	10	10	.0,1,2.
7	-5	-5	10	10	.3,4,5,6.
8	-5	-5	10	10	.7,8,9,10,11,12,13,14.
9	-5	-5	10	10	.15,16,17,18,19,20,21,22.
10	-5	-5	10	10	.23,24,25,26,27,28,29,30.
11	-5	-5	10	10	0
12	-5	-5	10	10	.1,8,9.
13	-5	-5	10	10	.2,10,11,12,13.
14	-5	-5	10	10	.3,10,11,12,13.
15	-5	-5	10	10	.3,4,6,14,15,16,17.
16	-5	-5	10	10	.0,1,2.
17	-5	-5	10	10	.3,4,5,6,7,8,9,10,11.
18	-5	-5	10	10	.12,13,14,15,16,17,18,19,20,21,22.
19	-5	-5	10	10	.23,24,25,26,27,28,29,30,31,32,33,34,35.
20	-5	-5	10	10	.36,37,38,39,40,41,42,43,44,45,46,28,29,30,31.
21	-5	-5	10	10	.0,1.
22	-5	-5	10	10	.2,3,4,5,6.
23	-5	-5	10	10	.7,8,9,10,11,12,13.
24	-5	-5	10	10	.14,15,16,17,18,19,20,21,22,23,24.
25	-5	-5	10	10	.25,26,27,28,29,30,31,32,33.
